Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772196505	206	98055	101456	0	201688	6593	0	88	0	3173195	24288	3010003	3559	0	0	1	1
1772196507	208	98055	101456	0	201688	6593	0	88	0	3192060	24489	3016705	3581	0	0	1	1
1772196509	210	98055	101456	0	201688	6593	0	88	0	3205814	24704	3017658	3587	0	0	1	1
1772196511	212	98055	101456	0	201688	6593	0	88	0	3218692	24870	3018178	3591	0	0	1	1
1772196513	214	98055	101456	0	201688	6593	0	88	0	3230275	25074	3018276	3592	0	0	1	1
1772196515	216	98055	101456	0	201688	6593	0	88	0	3280251	25361	3053792	3615	0	0	1	1
1772196517	218	98055	101456	0	201688	6593	0	88	0	3293158	25510	3059786	3630	0	0	1	1
1772196519	220	98055	101456	0	201688	6593	0	88	0	3306613	25704	3059856	3631	0	0	1	1
1772196521	222	98055	101456	0	201688	6593	0	88	0	3315150	25844	3059934	3632	0	0	1	1
1772196523	224	98055	101456	0	201688	6593	0	88	0	3325624	26031	3060173	3635	0	0	1	1
1772196525	226	98055	101456	0	201688	6593	0	88	0	3371080	26230	3096177	3655	0	0	1	1
1772196527	228	98055	101456	0	201688	6593	0	88	0	3385221	26399	3102241	3671	0	0	1	1
1772196529	230	98055	101456	0	201688	6593	0	88	0	3402397	26645	3104511	3677	0	0	1	1
1772196531	232	98055	101456	0	201688	6593	0	88	0	3414701	26823	3104511	3677	0	0	1	1
1772196533	234	98055	101456	0	201688	6593	0	88	0	3423855	26970	3104609	3678	0	0	1	1
1772196535	236	98055	101456	0	201688	6593	0	88	0	3492665	27244	3135756	3697	0	0	1	1
1772196537	238	98055	101456	0	201688	6593	0	88	0	3525141	27670	3141825	3713	0	0	1	1
1772196539	240	98055	101456	0	201688	6593	0	88	0	3533767	27829	3142538	3720	0	0	1	1
1772196541	242	98055	101456	0	201688	6593	0	88	0	3548017	28021	3142616	3721	0	0	1	1
1772196543	244	98055	101456	0	201688	6593	0	88	0	3602570	28319	3218083	3836	0	0	1	1
1772196545	246	98055	101456	0	201688	6593	0	88	0	3648379	28513	3249660	3855	0	0	1	1
1772196547	248	98055	101456	0	201688	6593	0	88	0	3673615	28722	3255794	3872	0	0	1	1
1772196549	250	98055	101456	0	201688	6593	0	88	0	3713138	29047	3293614	3949	0	0	1	1
1772196551	252	98055	101456	0	201688	6593	0	88	0	3987968	29605	3392723	4170	0	0	1	1
1772196553	254	98055	101456	0	201688	6593	0	88	0	4455479	30246	3516230	4420	0	0	1	1
1772196555	256	98055	101456	0	201688	6593	0	88	0	4529529	30540	3589436	4492	0	0	1	1
1772196557	258	98055	101456	0	201688	6593	0	88	0	4596747	30983	3645932	4590	0	0	1	1
1772196559	260	98055	101456	0	201688	6593	0	88	0	4656924	31281	3713272	4705	0	0	1	1
1772196561	262	98055	101456	0	201688	6593	0	88	0	4723202	31568	3748303	4778	0	0	1	1
1772196563	264	98055	101456	0	201688	6593	0	88	0	4747861	31825	3766090	4806	0	0	1	1
1772196565	266	98055	101456	0	201688	6593	0	88	0	4824595	32199	3781517	4836	0	0	1	1
1772196567	268	98055	101456	0	201688	6593	0	88	0	4861183	32452	3811770	4887	0	0	1	1
1772196569	270	98055	101456	0	201688	6593	0	88	0	4887399	32765	3833199	4928	0	0	1	1
1772196571	272	98055	101456	0	201688	6593	0	88	0	4924167	33369	3847625	4957	0	0	1	1
1772196573	274	98055	101456	0	201688	6593	0	88	0	4953615	33833	3857452	4981	0	0	1	1
1772196575	276	98055	101456	0	201688	6593	0	88	0	4990948	34348	3867113	5009	0	0	1	1
1772196577	278	98055	101456	0	201688	6593	0	88	0	5024987	34882	3881420	5035	0	0	1	1
1772196579	280	98055	101456	0	201688	6593	0	88	0	5061487	35276	3895492	5060	0	0	1	1
1772196581	282	98055	101456	0	201688	6593	0	88	0	5135222	35610	3915220	5088	0	0	1	1
1772196583	284	98055	101456	0	201688	6593	0	88	0	5163885	35865	3923894	5110	0	0	1	1
1772196585	286	98055	101456	0	201688	6593	0	88	0	5181775	36041	3925483	5116	0	0	1	1
1772196587	288	98055	101456	0	201688	6593	0	88	0	5251833	36318	3969441	5188	0	0	1	1
1772196589	290	98055	101456	0	201688	6593	0	88	0	5280228	36571	3991426	5234	0	0	1	1
1772196591	292	98055	101456	0	201688	6593	0	88	0	5367170	36853	4029268	5320	0	0	1	1
1772196593	294	98055	101456	0	201688	6593	0	88	0	5480949	37190	4076675	5444	0	0	1	1
1772196595	296	98055	101456	0	201688	6593	0	88	0	5574242	37564	4111085	5501	0	0	1	1
1772196597	298	98055	101456	0	201688	6593	0	88	0	5611609	37782	4140894	5554	0	0	1	1
1772196599	300	98055	101456	0	201688	6593	0	88	0	5642076	37971	4148049	5566	0	0	1	1
